dataset,norm_type,seed,best_cra,final_val_acc,final_cra,final_emp_lip,final_grad_norm,train_time_mean,train_time_std,inf_time_mean,inf_time_std,train_memory_bytes,inf_memory_bytes,train_memory_str,inf_memory_str,total_time
cifar10,None,0,52.85,67.63,52.7,0.01205160882784522,1.839308369034504,2.5025413465499877,0.09505623932937847,2.065611367225647,0.19552508343746755,11540952576,810812416,11.54 GB,810.81 MB,126431.17234039307
cifar10,center,0,34.99,53.77,34.77,0.023478450199919426,0.8146912270084339,2.80606342792511,0.014338595953959714,2.2241877508163452,0.20869514241768353,11542787584,811860992,11.54 GB,811.86 MB,130282.79601025581
cifar100,None,0,23.0,36.01,22.86,0.028134756041055486,2.024606726310181,2.592696952819824,0.022841455959725126,2.0838862609863282,0.19714105978286148,11541476864,810812416,11.54 GB,810.81 MB,126867.7118434906
cifar100,center,0,9.29,19.65,9.22,0.04358485132657854,0.8403580625078719,2.8347088098526,0.018019577739729307,2.252913751602173,0.20939290597587684,11541476864,810812416,11.54 GB,810.81 MB,130419.82091784477
